theta   d_times   d_db
1.112680   1.206611   0.815672
1.114252   1.208479   0.822391
1.115823   1.210343   0.829083
1.117395   1.212202   0.835749
1.118966   1.214056   0.842388
1.120538   1.215906   0.849000
1.122110   1.217751   0.855586
1.123681   1.219592   0.862146
1.125253   1.221428   0.868679
1.126824   1.223259   0.875186
1.128396   1.225086   0.881666
1.129968   1.226908   0.888121
1.131539   1.228725   0.894549
1.133111   1.230538   0.900950
1.134682   1.232346   0.907326
1.136254   1.234149   0.913676
1.137825   1.235947   0.919999
1.139397   1.237741   0.926297
1.140969   1.239529   0.932568
1.142540   1.241313   0.938813
1.144112   1.243092   0.945033
1.145683   1.244866   0.951227
1.147255   1.246635   0.957394
1.148827   1.248400   0.963536
1.150398   1.250159   0.969653
1.151970   1.251913   0.975743
1.153541   1.253663   0.981808
1.155113   1.255407   0.987847
1.156684   1.257147   0.993860
1.158256   1.258881   0.999848
1.159828   1.260611   1.005811
1.161399   1.262335   1.011747
1.162971   1.264055   1.017659
1.164542   1.265769   1.023544
1.166114   1.267478   1.029405
1.167686   1.269182   1.035240
1.169257   1.270881   1.041049
1.170829   1.272575   1.046834
1.172400   1.274264   1.052593
1.173972   1.275947   1.058327
1.175543   1.277625   1.064035
1.177115   1.279298   1.069718
1.178687   1.280966   1.075377
1.180258   1.282629   1.081010
1.181830   1.284286   1.086618
1.183401   1.285938   1.092201
1.184973   1.287585   1.097759
1.186544   1.289226   1.103291
1.188116   1.290862   1.108799
1.189688   1.292493   1.114282
1.191259   1.294119   1.119740
1.192831   1.295739   1.125174
1.194402   1.297353   1.130582
1.195974   1.298962   1.135966
1.197546   1.300566   1.141325
1.199117   1.302165   1.146659
1.200689   1.303757   1.151968
1.202260   1.305345   1.157253
1.203832   1.306927   1.162513
1.205403   1.308503   1.167748
1.206975   1.310074   1.172959
1.208547   1.311640   1.178145
1.210118   1.313199   1.183307
1.211690   1.314754   1.188444
1.213261   1.316302   1.193557
1.214833   1.317845   1.198645
1.216405   1.319383   1.203709
1.217976   1.320915   1.208748
1.219548   1.322441   1.213763
1.221119   1.323962   1.218754
1.222691   1.325477   1.223720
1.224262   1.326986   1.228663
1.225834   1.328489   1.233580
1.227406   1.329987   1.238474
1.228977   1.331479   1.243344
